Invoice_ID,Date,Client,Product,Quantity,Unit_Price_INR
INV-2465,2023-01-07,Client-079: M/s Savita Weavers,Embroidered Mirror Work (Label-422),60,213.34
INV-2384,2024-08-09,Client-095: M/s Shardaben Handloom,Multicolor Taffeta (Label-308),56,93.64
INV-0150,2026-03-08,Client-014: Shri Usha Fabrics,Organza Sheer (Label-210),18,51.23
INV-0870,2026-08-04,Client-073: M/s Lakshmi Event Planners,Cotton Herringbone (Label-203),41,44.44
INV-1979,2023-10-01,Client-084: M/s Kantilal Embroidery Works,Polyester Grosgrain (Label-408),57,34.05
INV-2457,2026-01-28,Client-033: M/s Vivek Fabrics,Velvet Roll (Label-405),366,130.22
INV-3866,2026-02-15,Client-092: M/s Pushpa Silk House,Satin 1-Inch (Label-101),20,34.88
INV-2213,2023-12-20,Client-128: M/s Balaji Event Planners,Jacquard Brocade (Label-315),1020,176.23
INV-1007,2024-07-06,Client-139: M/s Gopal Fashion House,Kutch Embroidery Border (Label-407),69,243.55
INV-3048,2026-02-16,Client-145: M/s Rahul Decorators,Velvet Roll (Label-405),32,119.34
INV-0706,2026-02-09,Client-122: M/s Bhikhabhai Enterprises,Metallic Zari (Label-306),361,155.31
INV-3144,2024-03-13,Client-138: Smt. Natubhai Weavers,Organza Sheer (Label-210),417,56.38
INV-3597,2024-11-21,Client-074: M/s Amrut Fashion House,Gold Zardozi (Label-501),513,300.97
INV-1988,2025-11-04,Client-117: Smt. Narottam Emporium,Gota Patti (Label-204),44,84.76
INV-0180,2024-01-05,Client-088: M/s Pooja Creations,Satin 2-Inch (Label-102),515,46.92
INV-0110,2024-02-16,Client-139: M/s Gopal Fashion House,Lace Trim Border (Label-217),110,65.4
INV-3079,2024-12-06,Client-066: Smt. Krunal Embroidery Works,Cotton Herringbone (Label-203),155,45.84
INV-1056,2024-02-01,Client-047: M/s Harish Creations,Velvet Roll (Label-405),15,122.37
INV-3953,2025-11-07,Client-092: M/s Pushpa Silk House,Chanderi Block Print (Label-221),6,144.37
INV-0315,2026-02-18,Client-054: Smt. Subhash Creations,Metallic Zari (Label-306),69,153.7
INV-1823,2024-07-15,Client-065: Shri Arvind Emporium,Chanderi Block Print (Label-221),103,143.38
INV-0568,2024-08-29,Client-013: M/s Gopal Exports,Velvet Roll (Label-405),50,127.52
INV-0880,2023-06-27,Client-061: M/s Poonam Enterprises,Lace Trim Border (Label-217),576,64.37
INV-2231,2025-01-29,Client-012: M/s Nayna Event Planners,Silk Printed (Label-112),150,87.37
INV-1412,2025-01-24,Client-099: M/s Sushila Garments,Embroidered Mirror Work (Label-422),128,219.9
INV-3225,2026-06-19,Client-087: M/s Mayur Creations,Silk Printed (Label-112),15,92.56
INV-3937,2023-12-25,Client-076: Smt. Ashok Designs,Organza Sheer (Label-210),108,51.84
INV-3250,2024-08-02,Client-117: Smt. Narottam Emporium,Polyester Grosgrain (Label-408),149,31.87
INV-0930,2024-08-20,Client-007: M/s Hasmukh Collections,Polyester Grosgrain (Label-408),121,31.9
INV-2579,2025-02-01,Client-107: M/s Ramniklal Event Planners,Gota Patti (Label-204),19,92.98
INV-3380,2025-06-10,Client-003: M/s Vinod Traders,Multicolor Taffeta (Label-308),245,92.19
INV-2293,2025-08-20,Client-010: M/s Pallavi Designs,Patola Woven Border (Label-330),3,238.51
INV-1503,2023-10-07,Client-132: M/s Shanta Creations,Patola Woven Border (Label-330),195,274.9
INV-3783,2025-10-28,Client-103: Shri Vijay Fashion House,Gota Patti (Label-204),694,89.11
INV-0606,2023-10-25,Client-015: M/s Savita Decorators,Silk Printed (Label-112),134,90.57
INV-1989,2025-04-02,Client-014: Shri Usha Fabrics,Polyester Grosgrain (Label-408),468,31.52
INV-0015,2025-03-29,Client-002: M/s Chandrika Fashion House,Velvet Roll (Label-405),11,126.68
INV-1262,2023-04-30,Client-026: Smt. Vivek Fabrics,Metallic Zari (Label-306),44,148.56
INV-3239,2025-10-13,Client-023: M/s Navin Embroidery Works,Organza Sheer (Label-210),55,52.88
INV-3319,2025-03-05,Client-064: Smt. Nayna Exports,Nylon Woven (Label-501),69,28.32
INV-0009,2023-01-01,Client-054: Smt. Subhash Creations,Embroidered Mirror Work (Label-422),51,222.0
INV-0890,2026-02-20,Client-053: M/s Malti Enterprises,Silver Tissue (Label-312),17,189.16
INV-3149,2023-04-14,Client-039: Shri Jignesh Designs,Nylon Woven (Label-501),38,29.97
INV-3552,2024-11-20,Client-022: Shri Champa Traders,Silver Tissue (Label-312),72,192.09
INV-1445,2025-02-20,Client-144: M/s Pooja Fashion House,Embroidered Mirror Work (Label-422),124,222.95
INV-0394,2024-12-19,Client-110: M/s Anita Embroidery Works,Jacquard Brocade (Label-315),855,179.07
INV-1583,2026-01-03,Client-099: M/s Sushila Garments,Satin 1-Inch (Label-101),68,35.57
INV-2859,2023-04-24,Client-120: M/s Usha Enterprises,Gold Zardozi (Label-501),239,303.0
INV-0539,2025-12-30,Client-122: M/s Bhikhabhai Enterprises,Patola Woven Border (Label-330),122,242.92
INV-1488,2023-02-23,Client-064: Smt. Nayna Exports,Satin 1-Inch (Label-101),76,33.39
INV-0808,2024-09-16,Client-090: Shri Prital Handloom,Raw Silk Ribbon (Label-115),124,117.07
INV-3415,2024-04-19,Client-081: M/s Mahesh Traders,Gota Patti (Label-204),38,84.81
INV-0799,2023-01-24,Client-098: M/s Bhavna Garments,Banarasi Zari Border (Label-302),187,139.34
INV-3540,2023-09-19,Client-084: M/s Kantilal Embroidery Works,Nylon Woven (Label-501),564,26.76
INV-1816,2026-01-14,Client-007: M/s Hasmukh Collections,Raw Silk Ribbon (Label-115),99,115.6
INV-2330,2024-05-19,Client-084: M/s Kantilal Embroidery Works,Nylon Woven (Label-501),168,30.3
INV-2648,2023-02-11,Client-076: Smt. Ashok Designs,Chiffon Pleated (Label-119),6,79.09
INV-1425,2025-02-12,Client-017: M/s Rahul Creations,Metallic Zari (Label-306),28,144.95
INV-2360,2026-04-06,Client-131: M/s Geeta Fabrics,Jacquard Brocade (Label-315),200,171.4
INV-3322,2024-01-29,Client-001: M/s Geeta Textiles,Silver Tissue (Label-312),213,207.34
INV-0788,2026-05-31,Client-140: M/s Brijesh Weavers,Silk Printed (Label-112),289,92.63
INV-1993,2026-04-23,Client-132: M/s Shanta Creations,Raw Silk Ribbon (Label-115),117,115.01
INV-1117,2024-06-09,Client-061: M/s Poonam Enterprises,Chiffon Pleated (Label-119),8,71.08
INV-1321,2024-06-20,Client-087: M/s Mayur Creations,Silver Tissue (Label-312),132,185.09
INV-3657,2025-12-19,Client-130: M/s Jignesh Creations,Satin 2-Inch (Label-102),33,51.07
INV-1553,2026-07-19,Client-095: M/s Shardaben Handloom,Metallic Zari (Label-306),57,146.66
INV-0033,2024-12-17,Client-018: Smt. Foram Fabrics,Chanderi Block Print (Label-221),88,122.59
INV-0464,2023-11-01,Client-063: Smt. Padma Saree Centre,Chanderi Block Print (Label-221),34,129.47
INV-2516,2025-08-18,Client-067: M/s Bhavik Traders,Kutch Embroidery Border (Label-407),43,232.69
INV-2296,2025-07-10,Client-022: Shri Champa Traders,Patola Woven Border (Label-330),146,270.67
INV-0167,2025-08-18,Client-078: M/s Prital Exports,Cotton Herringbone (Label-203),286,42.77
INV-2863,2023-04-22,Client-045: M/s Akash Saree Centre,Banarasi Zari Border (Label-302),8,156.12
INV-0415,2025-12-22,Client-043: Smt. Manju Weavers,Multicolor Taffeta (Label-308),75,85.38
INV-0034,2024-05-21,Client-006: M/s Naresh Exports,Raw Silk Ribbon (Label-115),25,102.35
INV-0185,2025-08-18,Client-050: Smt. Balaji Boutique,Lace Trim Border (Label-217),24,67.32
INV-3023,2026-03-31,Client-123: M/s Alka Collections,Velvet Roll (Label-405),32,114.58
INV-3241,2025-07-18,Client-145: M/s Rahul Decorators,Gold Zardozi (Label-501),1391,278.58
INV-3302,2023-09-27,Client-139: M/s Gopal Fashion House,Polyester Grosgrain (Label-408),320,31.73
INV-1953,2023-06-26,Client-006: M/s Naresh Exports,Jacquard Brocade (Label-315),51,185.11
INV-3750,2024-08-12,Client-051: M/s Brijesh Saree Centre,Multicolor Taffeta (Label-308),75,82.34
INV-1622,2023-05-30,Client-119: M/s Bhikhabhai Emporium,Patola Woven Border (Label-330),2,229.68
INV-1243,2026-05-17,Client-029: M/s Hitesh Boutique,Velvet Roll (Label-405),147,116.87
INV-3550,2025-07-24,Client-149: Shri Alpesh Saree Centre,Patola Woven Border (Label-330),239,251.6
INV-0722,2024-09-06,Client-146: M/s Yash Fashion House,Banarasi Zari Border (Label-302),739,142.05
INV-1175,2023-11-12,Client-126: M/s Mukesh Garments,Embroidered Mirror Work (Label-422),302,219.91
INV-0671,2025-09-13,Client-106: Smt. Kamlesh Designs,Raw Silk Ribbon (Label-115),114,102.14
INV-3332,2026-04-28,Client-019: M/s Sunil Collections,Metallic Zari (Label-306),257,173.57
INV-1747,2026-03-06,Client-119: M/s Bhikhabhai Emporium,Silver Tissue (Label-312),134,182.65
INV-2425,2025-07-02,Client-140: M/s Brijesh Weavers,Lace Trim Border (Label-217),9,65.75
INV-1557,2026-04-09,Client-098: M/s Bhavna Garments,Chanderi Block Print (Label-221),50,128.45
INV-2867,2023-03-24,Client-072: M/s Arun Fashion House,Polyester Grosgrain (Label-408),16,30.31
INV-3537,2023-07-01,Client-029: M/s Hitesh Boutique,Kutch Embroidery Border (Label-407),83,208.5
INV-2585,2023-06-02,Client-094: M/s Dilip Weavers,Satin 1-Inch (Label-101),45,34.99
INV-1745,2023-12-21,Client-083: M/s Vandana Exports,Kutch Embroidery Border (Label-407),47,213.4
INV-3868,2024-06-07,Client-019: M/s Sunil Collections,Silver Tissue (Label-312),30,206.5
INV-0719,2026-03-25,Client-026: Smt. Vivek Fabrics,Cotton Herringbone (Label-203),13,44.55
INV-1371,2023-10-07,Client-119: M/s Bhikhabhai Emporium,Satin 2-Inch (Label-102),276,49.61
INV-2980,2024-09-08,Client-077: Shri Deepak Fashion House,Gold Zardozi (Label-501),257,306.39
INV-3931,2023-09-30,Client-104: M/s Nirmala Designs,Polyester Grosgrain (Label-408),37,30.46
INV-2021,2025-05-06,Client-072: M/s Arun Fashion House,Metallic Zari (Label-306),214,168.66
INV-2611,2023-05-03,Client-135: M/s Anjali Emporium,Polyester Grosgrain (Label-408),15,30.1
INV-1627,2026-05-16,Client-016: M/s Padma Garments,Lace Trim Border (Label-217),189,68.76
INV-2426,2024-01-15,Client-030: M/s Shardaben Fashion House,Silver Tissue (Label-312),29,177.05
INV-3054,2026-02-07,Client-147: M/s Jagdish Silk House,Lace Trim Border (Label-217),14,70.65
INV-3008,2025-09-29,Client-050: Smt. Balaji Boutique,Silver Tissue (Label-312),47,196.52
INV-0600,2025-04-25,Client-132: M/s Shanta Creations,Polyester Grosgrain (Label-408),32,34.2
INV-1748,2025-06-13,Client-135: M/s Anjali Emporium,Multicolor Taffeta (Label-308),113,91.42
INV-2352,2023-05-23,Client-140: M/s Brijesh Weavers,Banarasi Zari Border (Label-302),42,145.72
INV-1430,2025-03-27,Client-015: M/s Savita Decorators,Lace Trim Border (Label-217),373,69.85
INV-1115,2024-05-07,Client-077: Shri Deepak Fashion House,Embroidered Mirror Work (Label-422),81,206.23
INV-0643,2023-07-21,Client-149: Shri Alpesh Saree Centre,Satin 2-Inch (Label-102),11,54.52
INV-0403,2025-01-03,Client-137: M/s Vandana Traders,Chiffon Pleated (Label-119),11,70.77
INV-0491,2023-08-03,Client-044: Shri Meena Silk House,Chiffon Pleated (Label-119),77,69.91
INV-2500,2025-05-01,Client-063: Smt. Padma Saree Centre,Organza Sheer (Label-210),255,59.37
INV-1004,2026-03-14,Client-007: M/s Hasmukh Collections,Multicolor Taffeta (Label-308),22,87.36
INV-2115,2025-08-23,,Cotton Herringbone (Label-203),90,43.93
INV-3485,2023-10-03,Client-131: M/s Geeta Fabrics,Velvet Roll (Label-405),80,114.32
INV-1879,2023-12-31,Client-068: M/s Madhuri Fabrics,Raw Silk Ribbon (Label-115),411,107.37
INV-2474,2023-02-14,Client-089: M/s Naresh Fashion House,Lace Trim Border (Label-217),53,63.45
INV-0271,2024-04-07,Client-014: Shri Usha Fabrics,Velvet Roll (Label-405),638,117.92
INV-2342,2023-01-23,Client-053: M/s Malti Enterprises,Organza Sheer (Label-210),72,52.76
INV-3059,2023-10-10,Client-046: M/s Bhikhabhai Textiles,Jacquard Brocade (Label-315),19,162.43
INV-3199,2024-10-25,Client-050: Smt. Balaji Boutique,Multicolor Taffeta (Label-308),247,79.26
INV-1045,2025-04-28,Client-119: M/s Bhikhabhai Emporium,Kutch Embroidery Border (Label-407),94,241.74
INV-3498,2024-12-15,Client-108: M/s Shyam Event Planners,Gota Patti (Label-204),78,79.67
INV-2794,2026-06-04,Client-099: M/s Sushila Garments,Silver Tissue (Label-312),594,181.35
INV-2393,2023-08-18,Client-140: M/s Brijesh Weavers,Banarasi Zari Border (Label-302),10,145.57
INV-3471,2026-05-12,Client-063: Smt. Padma Saree Centre,Silk Printed (Label-112),47,92.21
INV-3838,2024-02-14,Client-049: Shri Ketan Industries,Raw Silk Ribbon (Label-115),10,100.86
INV-2359,2023-03-15,Client-150: M/s Kantilal Event Planners,Satin 2-Inch (Label-102),89,45.07
INV-2335,2023-06-16,Client-119: M/s Bhikhabhai Emporium,Raw Silk Ribbon (Label-115),318,118.81
INV-0018,2025-06-25,Client-130: M/s Jignesh Creations,Embroidered Mirror Work (Label-422),131,223.88
INV-3655,2023-05-19,Client-053: M/s Malti Enterprises,Metallic Zari (Label-306),134,150.66
INV-1211,2024-11-27,Client-012: M/s Nayna Event Planners,Silver Tissue (Label-312),18,185.93
INV-2118,2024-08-23,Client-107: M/s Ramniklal Event Planners,Jacquard Brocade (Label-315),5,172.17
INV-0230,2023-09-22,Client-015: M/s Savita Decorators,Velvet Roll (Label-405),97,120.43
INV-1118,2023-02-26,Client-080: Shri Nayna Weavers,Multicolor Taffeta (Label-308),270,87.74
INV-1293,2024-04-04,Client-108: M/s Shyam Event Planners,Silver Tissue (Label-312),-38,193.01
INV-0496,2023-04-22,Client-110: M/s Anita Embroidery Works,Satin 1-Inch (Label-101),16,33.56
INV-3545,2024-03-22,,Gota Patti (Label-204),69,76.81
INV-0462,2023-12-11,Client-111: Shri Rekha Textiles,Chiffon Pleated (Label-119),164,74.94
INV-2904,2023-07-04,Client-109: M/s Padma Silk House,Gold Zardozi (Label-501),-44,254.39
INV-1564,2025-12-14,Client-004: Smt. Narottam Fabrics,Raw Silk Ribbon (Label-115),13,101.19
INV-2554,2024-08-17,Client-117: Smt. Narottam Emporium,Banarasi Zari Border (Label-302),-13,138.75
INV-0319,2025-10-15,Client-121: M/s Harish Traders,Metallic Zari (Label-306),431,173.26
INV-2454,2026-03-08,Client-069: Smt. Mohan Designs,Banarasi Zari Border (Label-302),143,158.97
INV-3266,2024-04-08,Client-070: M/s Yash Designs,Embroidered Mirror Work (Label-422),47,200.08
INV-2453,2024-06-05,Client-117: Smt. Narottam Emporium,Silver Tissue (Label-312),135,198.26
INV-1492,2024-09-19,Client-126: M/s Mukesh Garments,Velvet Roll (Label-405),44,120.7
INV-3573,2024-05-11,Client-118: M/s Pravin Textiles,Satin 1-Inch (Label-101),417,31.71
INV-1290,2025-12-27,Client-144: M/s Pooja Fashion House,Multicolor Taffeta (Label-308),396,79.23
INV-3323,2024-08-16,Client-114: M/s Padma Enterprises,Gota Patti (Label-204),29,81.68
INV-3519,2023-06-04,Client-127: M/s Nayna Boutique,Organza Sheer (Label-210),54,51.54
INV-3394,2026-02-13,Client-147: M/s Jagdish Silk House,Silver Tissue (Label-312),393,182.91
INV-2234,2024-08-17,,Nylon Woven (Label-501),161,28.89
INV-0658,2025-11-26,Client-093: Shri Niraj Boutique,Chiffon Pleated (Label-119),64,74.55
INV-1057,2024-10-22,Client-078: M/s Prital Exports,Cotton Herringbone (Label-203),117,43.56
INV-2120,2023-11-29,,Silk Printed (Label-112),20,91.32
INV-3195,2023-12-27,Client-130: M/s Jignesh Creations,Multicolor Taffeta (Label-308),38,83.77
INV-3895,2023-01-28,Client-099: M/s Sushila Garments,Satin 1-Inch (Label-101),70,36.68
INV-1663,2024-07-17,Client-037: M/s Vinod Fashion House,Chanderi Block Print (Label-221),41,122.12
INV-1331,2024-10-21,Client-135: M/s Anjali Emporium,Satin 2-Inch (Label-102),159,52.16
INV-1179,2024-11-30,Client-058: Smt. Deepika Fashion House,Chanderi Block Print (Label-221),60,140.03
INV-3721,2025-10-05,Client-127: M/s Nayna Boutique,Chanderi Block Print (Label-221),37,131.82
INV-2158,2026-06-03,Client-019: M/s Sunil Collections,Metallic Zari (Label-306),65,172.01
INV-0299,2024-01-01,Client-101: Smt. Manju Garments,Gold Zardozi (Label-501),138,259.13
INV-0094,2025-12-28,Client-082: M/s Dhaval Event Planners,Chanderi Block Print (Label-221),38,140.91
INV-2405,2024-10-16,Client-066: Smt. Krunal Embroidery Works,Satin 2-Inch (Label-102),74,53.61
INV-3549,2023-07-09,Client-039: Shri Jignesh Designs,Nylon Woven (Label-501),917,25.98
INV-1576,2024-09-09,Client-074: M/s Amrut Fashion House,Lace Trim Border (Label-217),129,69.88
INV-3746,2025-08-06,Client-070: M/s Yash Designs,Embroidered Mirror Work (Label-422),32,192.79
INV-2887,2024-12-08,Client-150: M/s Kantilal Event Planners,Satin 2-Inch (Label-102),22,53.23
INV-1794,2026-02-28,Client-010: M/s Pallavi Designs,Lace Trim Border (Label-217),13,71.25
INV-0024,2025-05-10,Client-150: M/s Kantilal Event Planners,Gota Patti (Label-204),16,91.06
INV-3351,2023-04-04,Client-065: Shri Arvind Emporium,Silver Tissue (Label-312),116,183.96
INV-3624,2025-03-11,Client-099: M/s Sushila Garments,Raw Silk Ribbon (Label-115),117,113.72
INV-1732,2025-02-12,Client-071: M/s Kavya Fabrics,Chanderi Block Print (Label-221),161,139.83
INV-1085,2025-04-08,Client-131: M/s Geeta Fabrics,Cotton Herringbone (Label-203),23,39.04
INV-3992,2023-11-10,Client-029: M/s Hitesh Boutique,Silk Printed (Label-112),60,92.39
INV-2666,2025-10-23,Client-011: M/s Kavya Industries,Metallic Zari (Label-306),32,156.14
INV-2379,2023-03-03,Client-111: Shri Rekha Textiles,Multicolor Taffeta (Label-308),6,86.46
INV-1273,2023-11-27,Client-145: M/s Rahul Decorators,Satin 1-Inch (Label-101),141,33.6
INV-0306,2024-10-15,Client-083: M/s Vandana Exports,Nylon Woven (Label-501),45,26.89
INV-2903,2025-04-24,Client-026: Smt. Vivek Fabrics,Multicolor Taffeta (Label-308),113,86.22
INV-2762,2023-12-03,Client-021: M/s Yash Emporium,Raw Silk Ribbon (Label-115),939,102.59
INV-0599,2024-05-23,Client-088: M/s Pooja Creations,Polyester Grosgrain (Label-408),51,31.7
INV-3880,2023-04-24,Client-120: M/s Usha Enterprises,Polyester Grosgrain (Label-408),56,30.49
INV-0872,2026-03-11,Client-008: M/s Natubhai Exports,Jacquard Brocade (Label-315),495,164.29
INV-2546,2025-05-14,Client-146: M/s Yash Fashion House,Jacquard Brocade (Label-315),160,157.76
INV-2122,2023-03-12,Client-037: M/s Vinod Fashion House,Embroidered Mirror Work (Label-422),75,190.95
INV-1361,2026-05-23,Client-135: M/s Anjali Emporium,Metallic Zari (Label-306),56,173.13
INV-1937,2025-01-18,Client-089: M/s Naresh Fashion House,Embroidered Mirror Work (Label-422),140,197.98
INV-2759,2024-02-04,Client-117: Smt. Narottam Emporium,Nylon Woven (Label-501),260,25.7
INV-3645,2025-01-27,Client-109: M/s Padma Silk House,Multicolor Taffeta (Label-308),398,87.45
INV-1540,2023-06-03,Client-088: M/s Pooja Creations,Polyester Grosgrain (Label-408),71,33.44
INV-2211,2025-02-03,Client-001: M/s Geeta Textiles,Gold Zardozi (Label-501),13,252.7
INV-1053,2024-06-15,Client-015: M/s Savita Decorators,Organza Sheer (Label-210),50,53.02
INV-1567,2024-11-24,Client-022: Shri Champa Traders,Silk Printed (Label-112),22,88.15
INV-3247,2024-01-21,Client-132: M/s Shanta Creations,Patola Woven Border (Label-330),57,261.25
INV-1927,2026-04-28,Client-056: M/s Shyamlal Textiles,Cotton Herringbone (Label-203),78,39.3
INV-2024,2023-12-30,Client-001: M/s Geeta Textiles,Silver Tissue (Label-312),151,207.86
INV-0409,2025-01-31,Client-043: Smt. Manju Weavers,Banarasi Zari Border (Label-302),90,141.99
INV-0100,2024-05-08,Client-150: M/s Kantilal Event Planners,Organza Sheer (Label-210),90,52.05
INV-1212,2025-11-21,Client-027: M/s Rajendra Creations,Banarasi Zari Border (Label-302),43,157.37
INV-1433,2025-08-31,Client-049: Shri Ketan Industries,Gota Patti (Label-204),36,93.27
INV-0316,2024-03-09,Client-031: M/s Paresh Garments,Satin 2-Inch (Label-102),336,54.14
INV-1174,2025-03-27,Client-054: Smt. Subhash Creations,Jacquard Brocade (Label-315),645,171.1
INV-1236,2025-11-23,Client-093: Shri Niraj Boutique,Multicolor Taffeta (Label-308),40,80.92
INV-3160,2023-01-29,Client-094: M/s Dilip Weavers,Chiffon Pleated (Label-119),64,75.86
INV-2733,2023-04-23,Client-006: M/s Naresh Exports,Silver Tissue (Label-312),67,193.95
INV-3973,2024-07-05,Client-100: Smt. Kavita Saree Centre,Silk Printed (Label-112),441,102.29
INV-3641,2025-07-08,Client-085: M/s Nayna Industries,Velvet Roll (Label-405),98,111.22
INV-0752,2024-07-05,Client-113: Smt. Kantilal Exports,Gota Patti (Label-204),292,80.46
INV-3116,2023-09-14,Client-056: M/s Shyamlal Textiles,Patola Woven Border (Label-330),117,234.69
INV-0157,2024-12-26,Client-011: M/s Kavya Industries,Embroidered Mirror Work (Label-422),127,189.79
INV-2562,2026-02-05,Client-030: M/s Shardaben Fashion House,Nylon Woven (Label-501),160,30.38
INV-0121,2026-06-14,Client-072: M/s Arun Fashion House,Banarasi Zari Border (Label-302),354,150.52
INV-1455,2024-03-07,Client-058: Smt. Deepika Fashion House,Banarasi Zari Border (Label-302),23,157.27
INV-0512,2023-07-25,Client-145: M/s Rahul Decorators,Velvet Roll (Label-405),890,126.86
INV-1518,2024-02-11,Client-073: M/s Lakshmi Event Planners,Banarasi Zari Border (Label-302),409,134.38
INV-3505,2023-07-22,Client-037: M/s Vinod Fashion House,Organza Sheer (Label-210),45,57.76
INV-2017,2023-02-17,Client-073: M/s Lakshmi Event Planners,Silver Tissue (Label-312),42,204.52
INV-3441,2025-05-30,Client-088: M/s Pooja Creations,Banarasi Zari Border (Label-302),13,148.18
INV-2847,2023-07-29,Client-141: Shri Brijesh Event Planners,Jacquard Brocade (Label-315),26,182.64
INV-1603,2025-09-17,Client-081: M/s Mahesh Traders,Satin 1-Inch (Label-101),-28,38.1
INV-3779,2025-08-31,Client-072: M/s Arun Fashion House,Satin 1-Inch (Label-101),1435,35.8
INV-3804,2025-11-12,Client-001: M/s Geeta Textiles,Silk Printed (Label-112),132,103.35
INV-0677,2025-06-02,Client-095: M/s Shardaben Handloom,Banarasi Zari Border (Label-302),38,150.73
INV-0241,2025-07-09,Client-025: M/s Ruchita Exports,Banarasi Zari Border (Label-302),112,138.92
INV-1024,2025-01-31,Client-013: M/s Gopal Exports,Organza Sheer (Label-210),144,53.38
INV-2217,2024-08-19,Client-047: M/s Harish Creations,Kutch Embroidery Border (Label-407),72,230.85
INV-1512,2024-11-03,Client-028: Shri Tarun Industries,Gota Patti (Label-204),117,82.45
INV-2814,2024-11-14,Client-069: Smt. Mohan Designs,Banarasi Zari Border (Label-302),36,132.99
INV-3226,2025-03-08,Client-123: M/s Alka Collections,Nylon Woven (Label-501),49,25.57
INV-3800,2023-06-04,Client-138: Smt. Natubhai Weavers,Velvet Roll (Label-405),57,117.94
INV-3764,2024-04-25,Client-005: M/s Nayna Garments,Banarasi Zari Border (Label-302),32,147.36
INV-2883,2023-10-15,Client-003: M/s Vinod Traders,Kutch Embroidery Border (Label-407),74,237.59
INV-0487,2023-05-19,Client-028: Shri Tarun Industries,Gota Patti (Label-204),179,77.32
INV-3362,2025-07-25,Client-063: Smt. Padma Saree Centre,Nylon Woven (Label-501),154,26.19
INV-1874,2025-12-03,Client-143: M/s Prakash Silk House,Patola Woven Border (Label-330),9,266.88
INV-2462,2025-02-23,Client-005: M/s Nayna Garments,Jacquard Brocade (Label-315),178,160.69
